r,g,b,label,label_int
88.92534402302337,89.28620439222149,55.06204676761985,sea,2
90.48059335155094,80.2618945834093,45.542173323882096,sea,2
87.32075131976207,74.6893841446854,43.37485214454667,sea,2
87.21191946101727,68.50830993763375,42.58149810008124,sea,2
92.1094,70.2929,45.0592,sea,2
109.9472,93.3844,40.08300000000001,sea,2
91.62152436225324,80.01704107646404,48.54630289964369,sea,2
82.9433890527126,53.97379757708264,44.328784076561874,sea,2
73.24167222722933,47.61418799593389,40.50035171085764,sea,2
62.23418579861876,41.0796523073114,35.72834518172831,sea,2
55.70823878307456,36.82271761639184,32.476515470851645,sea,2
91.07493067584228,95.3399108534689,79.33194861443373,sea,2
68.5690852651758,44.89382657764733,37.98361719794256,sea,2
81.1853931412554,52.63268289641628,43.81294914844588,sea,2
93.58436953696756,60.05491217326264,48.98955297630673,sea,2
101.6067224837219,65.329261461199,53.28944756559329,sea,2
87.7353747475022,72.47524041417509,37.38841076666971,sea,2
112.63435123542295,72.10504394144651,58.34728198413458,sea,2
121.58243577039023,77.24314433446135,62.736663338676834,sea,2
146.0294878612417,92.93153157245924,75.38421366522535,sea,2
139.11768857085798,88.02130636579504,71.32051685446697,sea,2
133.93486750485647,84.9955055708245,68.66272313879963,sea,2
128.18570859907044,81.3713093818371,66.26346224261378,sea,2
115.09976977608648,73.1526499468757,58.86356984040085,sea,2
104.66643636770804,67.18764470369835,54.290910178021,sea,2
155.16051698719906,97.69239098019814,76.92909668886195,sea,2
152.8186144549842,96.24460560130616,75.99146047585866,sea,2
126.5328442544223,106.75827301091658,42.01396658063578,sea,2
150.4279,94.9991,75.5316,sea,2
146.00452114465116,91.90472268050516,73.99271624310013,sea,2
156.4285513925065,98.42789148810104,77.99139182923629,sea,2
156.11152235069707,98.93937718536512,78.02694808657871,sea,2
155.900244893421,97.89564794012604,77.50567763285305,sea,2
155.1669,97.6679,76.9294,sea,2
151.55724097153248,95.6955156004364,75.50588446229132,sea,2
147.50468190466947,92.79322528690044,74.58218845655706,sea,2
154.1916,97.2181,76.2212,sea,2
153.6417294276149,96.69872447422634,75.70105674393506,sea,2
149.2815667533931,129.6208334078994,75.99523358922204,sea,2
158.9901260866491,100.55981527716813,80.2726982858849,sea,2
155.56707617410314,98.30270824179216,77.44316300439368,sea,2
155.9538758347009,98.08431193265268,77.52440512507627,sea,2
156.0,98.99925373134327,78.25,sea,2
155.5,97.875,77.125,sea,2
157.50893057420868,100.03048005015827,79.27457192419904,sea,2
155.25139810444614,97.8006036087886,77.01012725263445,sea,2
155.11111111111111,97.88888888888889,77.11111111111111,sea,2
155.71428571428572,98.42857142857144,77.85714285714286,sea,2
155.42857142857142,97.99442005011164,77.28571428571429,sea,2
162.2861203083322,142.74213843183074,97.42092927558528,sea,2
155.9973,98.6681,77.834,sea,2
159.27350810538536,102.27871671182184,81.27730825605217,sea,2
155.8,97.7,77.3,sea,2
160.12432105365912,102.73132276923582,81.92979307325426,sea,2
152.28492480393552,96.35418594870474,75.99446504399168,sea,2
154.99582928496886,97.99821333896978,77.00061638047863,sea,2
154.7,97.7,77.10032679738563,sea,2
163.70234993511428,136.82392727415015,77.41397118387079,sea,2
133.793869567605,107.6355856665852,37.02472480674828,sea,2
